Hurricane,Year,US Pop (millions),Category,Adjusted Costs (billions USD 2024),,,
Katrina,2005,296.8,3,200,,,16-Dec-24
Harvey,2017,329.7,4,160,,,https://www.ncei.noaa.gov/access/billions/dcmi.pdf
Ian,2022,338.2,4,118.5,,,Costliest tropical cyclones to impact the United States (cost values are based on the 2024 Consumer Price
Maria,2017,329.7,4,115.2,,,cost values are based on the 2024 Consumer Price
Sandy,2012,316.6,1,88.5,,,US pop since 1950: https://www.macrotrends.net/global-metrics/countries/usa/united-states/population
Ida,2021,336.9,4,84.6,,,US pop 1930-1949: https://www.multpl.com/united-states-population/table/by-year
Irma,2017,329.7,4,64,,,
Andrew,1992,255.1,5,60.2,,,
Ike,2008,305.6,2,43.2,,,
Ivan,2004,293.9,3,34,,,
Michael,2018,332.1,5,31,,,
Wilma,2005,296.8,3,30,,,
Florence,2018,332.1,1,30,,,
Rita,2005,296.8,3,29.2,,,
Laura,2020,335.9,4,28.1,,,
Charley,2004,293.9,4,26.6,,,
Hugo,1989,244.9,4,22.7,,,
Irene,2011,313.8,1,18.8,,,
Frances,2004,293.9,2,16.3,,,
Agnes,1972,205.2,1,15.8,,,
Allison,2001,285.4,0,15.1,,,
Betsy,1965,189.7,3,14.1,,,
Matthew,2016,327.2,1,13,,,
Jeanne,2004,293.9,3,12.4,,,
Camille,1969,197.8,5,12.2,,,
Floyd,1999,279.1,2,12.1,,,
Georges,1998,275.8,2,11.5,,,
Fran,1996,268.9,3,10,,,
Diane,1955,161.1,1,9.8,,,
Opal,1995,265.6,3,9.6,,,
Alicia,1983,230.4,3,9.4,,,
Isabel,2003,291.1,2,9.3,,,
Sally,2020,335.9,2,8.8,,,
Gustav,2008,305.6,2,8.6,,,
Celia,1970,200.3,3,7.5,,,
Frederic,1979,220.4,3,7.4,,,
Beryl,2024,341.8,1,7.2,,,
Iniki,1992,255.1,4,6.9,,,
Long Island Express,1938,129.8,3,6.8,,,
Great Atlantic Hurricane,1944,138.4,3,6.3,,,
Imelda,2019,334.3,0,6.2,,,
Isaias,2020,335.9,1,5.8,,,
Carol,1954,158.2,3,5.4,,,
Zeta,2020,335.9,2,5.3,,,
Typhoon Mawar,2023,339.9,4,4.4,,,
Juan,1985,235.1,1,4.3,,,
Marilyn,1995,265.6,2,4.3,,,
Donna,1960,176.1,4,4.1,,,
Dennis,2005,296.8,3,4,,,
Elena,1985,235.1,3,3.8,,,
Isaac,2012,316.6,1,3.8,,,
Idalia,2023,339.9,3,3.6,,,
Bob,1991,251.5,2,3.5,,,
Lee,2011,313.8,0,3.5,,,
Delta,2020,335.9,2,3.5,,,
