Outcome,Class,Sex,Age
survived,first,female,29
survived,first,male,0.92
died,first,female,2
died,first,male,30
died,first,female,25
survived,first,male,48
survived,first,female,63
died,first,male,39
survived,first,female,53
died,first,male,71
died,first,male,47
survived,first,female,18
survived,first,female,24
survived,first,female,26
survived,first,male,80
died,first,male,24
survived,first,female,50
survived,first,female,32
died,first,male,36
survived,first,male,37
survived,first,female,47
survived,first,male,26
survived,first,female,42
survived,first,female,29
died,first,male,25
survived,first,male,25
survived,first,female,19
survived,first,female,35
survived,first,male,28
died,first,male,45
survived,first,male,40
survived,first,female,30
survived,first,female,58
died,first,male,42
survived,first,female,45
survived,first,female,22
died,first,male,41
died,first,male,48
survived,first,female,44
survived,first,female,59
survived,first,female,60
survived,first,female,41
died,first,male,45
survived,first,male,42
survived,first,female,53
survived,first,male,36
survived,first,female,58
died,first,male,33
died,first,male,28
died,first,male,17
survived,first,male,11
survived,first,female,14
survived,first,male,36
survived,first,female,36
died,first,male,49
died,first,male,36
survived,first,female,76
died,first,male,46
survived,first,female,47
survived,first,male,27
survived,first,female,33
survived,first,female,36
survived,first,female,30
survived,first,male,45
died,first,male,27
survived,first,female,26
survived,first,female,22
died,first,male,47
survived,first,female,39
died,first,male,37
survived,first,female,64
survived,first,female,55
died,first,male,70
survived,first,female,36
survived,first,female,64
died,first,male,39
survived,first,female,38
survived,first,male,51
survived,first,male,27
survived,first,female,33
died,first,male,31
survived,first,female,27
survived,first,male,31
survived,first,female,17
survived,first,male,53
survived,first,male,4
survived,first,female,54
died,first,male,50
survived,first,female,27
survived,first,female,48
survived,first,female,48
survived,first,male,49
died,first,male,39
survived,first,female,23
survived,first,female,38
survived,first,female,54
died,first,female,36
survived,first,male,36
died,first,male,30
survived,first,female,24
survived,first,female,28
survived,first,female,23
died,first,male,19
died,first,male,64
survived,first,female,60
survived,first,female,30
survived,first,male,50
survived,first,male,43
survived,first,female,22
survived,first,male,60
survived,first,female,48
died,first,male,37
survived,first,female,35
died,first,male,47
survived,first,female,35
survived,first,female,22
survived,first,female,45
died,first,male,24
survived,first,male,49
died,first,male,71
survived,first,male,53
survived,first,female,19
died,first,male,38
survived,first,female,58
survived,first,male,23
survived,first,female,45
died,first,male,46
survived,first,male,25
survived,first,female,25
survived,first,male,48
survived,first,female,49
died,first,male,45
survived,first,female,35
died,first,male,40
survived,first,male,27
survived,first,female,24
died,first,male,55
survived,first,female,52
died,first,male,42
died,first,male,55
survived,first,female,16
survived,first,female,44
survived,first,female,51
died,first,male,42
survived,first,female,35
survived,first,male,35
